Rank,Place of Origin,2000/01,2001/02,% of U.S. Foreign Student Total,2000/01 % Change,Year
,WORLD TOTAL,"547,867","582,996",,6.4,2002
1,India,"54,664","66,836",11.5,22.3,2002
2,China,"59,939","63,211",10.8,5.5,2002
3,"Korea, Republic of","45,685","49,046",8.4,7.4,2002
4,Japan,"46,497","46,810",8,0.7,2002
5,Taiwan,"28,566","28,930",5,1.3,2002
6,Canada,"25,279","26,514",4.5,4.9,2002
7,Mexico,"10,670","12,518",2.1,17.3,2002
8,Turkey,"10,983","12,091",2.1,10.1,2002
9,Indonesia,"11,625","11,614",2,-0.1,2002
10,Thailand,"11,187","11,606",2,3.7,2002
11,Germany,"10,128","9,613",1.6,-5.1,2002
12,Brazil,"8,846","8,972",1.5,1.4,2002
13,Pakistan,"6,948","8,644",1.5,24.4,2002
14,United Kingdom,"8,139","8,414",1.4,3.4,2002
15,Colombia,"6,765","8,068",1.4,19.3,2002
