Rank,Place of Origin,2001/02,2002/03,% of U.S. Student Total,% Change,Year
,WORLD TOTAL,"582,996","586,323",100,0.6,2003
1,India,"66,836","74,603",12.7,11.6,2003
2,China,"63,211","64,757",11,2.4,2003
3,"Korea, Republic of","49,046","51,519",8.8,5,2003
4,Japan,"46,810","45,960",7.8,-1.8,2003
5,Taiwan,"28,930","28,017",4.8,-3.2,2003
6,Canada,"26,514","26,513",4.5,0,2003
7,Mexico,"12,518","12,801",2.2,2.3,2003
8,Turkey,"12,091","11,601",2,-4.1,2003
9,Indonesia,"11,614","10,432",1.8,-10.2,2003
10,Thailand,"11,606","9,982",1.7,-14,2003
11,Germany,"9,613","9,302",1.6,-3.2,2003
12,Brazil,"8,972","8,388",1.4,-6.5,2003
13,United Kingdom,"8,414","8,326",1.4,-1,2003
14,Pakistan,"8,644","8,123",1.4,-6,2003
15,Hong Kong,"7,757","8,076",1.4,4.1,2003
16,Kenya,"7,097","7,862",1.3,10.8,2003
17,Colombia,"8,068","7,771",1.3,-3.7,2003
18,France,"7,401","7,223",1.2,-2.4,2003
19,Malaysia,"7,395","6,595",1.1,-10.8,2003
20,Russia,"6,643","6,238",1.1,-6.1,2003
