Rank,Place of Origin,2003/04,2004/05,% of Int'l Student Total,2004/05 % Change,Year
,WORLD TOTAL,"572,509","565,039",,,2005
1,India,"79,736","80,466",,,2005
2,China,"61,765","62,523",,,2005
3,"Korea, Republic of","52,484","53,358",,,2005
4,Japan,"40,835","42,215",,,2005
5,Canada,"27,017","28,140",,,2005
6,Taiwan,"26,178","25,914",,,2005
7,Mexico,"13,329","13,063",,,2005
8,Turkey,"11,398","12,474",,,2005
9,Germany,"9,302","8,640",,,2005
10,Thailand,"9,982","8,637",,,2005
11,United Kingdom,"8,326","8,236",,,2005
12,Hong Kong,"8,076","7,180",,,2005
13,Indonesia,"10,432","7,760",,,2005
14,Brazil,"8,388","7,244",,,2005
15,Colombia,"7,771","7,334",,,2005
16,France,"7,223","6,555",,,2005
17,Kenya,"7,862","6,728",,,2005
18,Nigeria,"5,816","6,335",,,2005
19,Nepal,,"4,861",,,2005
20,Pakistan,,"6,296",,,2005
