Rank,Place of Origin,2004/05,2005/06,2005/06 % of Int'l Student Total,2005/06 % Change,Year
,WORLD TOTAL,"565,039","564,766",100,-0.05,2006
1,India,"80,466","76,503",13.5,-4.9,2006
2,China,"62,523","62,582",11.1,0.1,2006
3,"Korea, Republic of","53,358","59,022",10.5,10.6,2006
4,Japan,"42,215","38,712",6.9,-8.3,2006
5,Canada,"28,140","28,202",5,0.2,2006
6,Taiwan,"25,914","27,876",4.9,7.6,2006
7,Mexico,"13,063","13,931",2.5,6.6,2006
8,Turkey,"12,474","11,622",2.1,-6.8,2006
9,Germany,"8,640","8,829",1.6,2.2,2006
10,Thailand,"8,637","8,765",1.6,1.5,2006
11,United Kingdom,"8,236","8,274",1.5,0.5,2006
12,Hong Kong,"7,180","7,849",1.4,9.3,2006
13,Indonesia,"7,760","7,575",1.3,-2.4,2006
14,Brazil,"7,244","7,009",1.2,-3.2,2006
15,Colombia,"7,334","6,835",1.2,-6.8,2006
16,France,"6,555","6,640",1.2,1.3,2006
17,Kenya,"6,728","6,559",1.2,-2.5,2006
18,Nigeria,"6,335","6,192",1.1,-2.3,2006
19,Nepal,"4,861","6,061",1.1,24.7,2006
20,Pakistan,"6,296","5,759",1,-8.5,2006
