Rank,Place of Origin,2005/06,2006/07,% of Int'l Total,% Change,Year
,WORLD TOTAL,"564,766","582,984",100,3.2,2007
1,India,"76,503","83,833",14.4,9.6,2007
2,"China, PRC","62,582","67,723",11.6,8.2,2007
3,"Korea, Rep. of (South)","59,022","62,392",10.7,5.7,2007
4,Japan,"38,712","35,282",6.1,-8.9,2007
5,Taiwan,"27,876","29,094",5,4.4,2007
6,Canada,"28,202","28,280",4.9,0.3,2007
7,Mexico,"13,931","13,826",2.4,-0.8,2007
8,Turkey,"11,622","11,506",2,-1,2007
9,Thailand,"8,765","8,886",1.5,1.4,2007
10,Germany,"8,829","8,656",1.5,-2,2007
11,United Kingdom,"8,274","8,438",1.4,2,2007
12,Saudi Arabia,"3,448","7,886",1.4,128.7,2007
13,Nepal,"6,061","7,754",1.3,27.9,2007
14,"Hong Kong, China","7,849","7,722",1.3,-1.6,2007
15,Indonesia,"7,575","7,338",1.3,-3.1,2007
16,Brazil,"7,009","7,126",1.2,1.7,2007
17,Colombia,"6,835","6,750",1.2,-1.2,2007
18,France,"6,640","6,704",1.1,1,2007
19,Kenya,"6,559","6,349",1.1,-3.2,2007
20,Vietnam,"4,597","6,036",1,31.3,2007
