Rank,Place of Origin,2007/08,2008/09,% of Total,% Change,Year
,WORLD TOTAL,"623,805","671,616",100,7.7,2009
1,India,"94,563","103,260",15.4,9.2,2009
2,China,"81,127","98,235",14.6,21.1,2009
3,South Korea,"69,124","75,065",11.2,8.6,2009
4,Canada,"29,051","29,697",4.4,2.2,2009
5,Japan,"33,974","29,264",4.4,-13.9,2009
6,Taiwan,"29,001","28,065",4.2,-3.2,2009
7,Mexico,"14,837","14,850",2.2,0.1,2009
8,Vietnam,"8,769","12,823",1.9,46.2,2009
9,Saudi Arabia,"9,873","12,661",1.9,28.2,2009
10,Turkey,"12,030","12,148",1.8,1,2009
11,Nepal,"8,936","11,581",1.7,29.6,2009
12,Germany,"8,907","9,679",1.4,8.7,2009
13,Brazil,"7,578","8,767",1.3,15.7,2009
14,Thailand,"9,004","8,736",1.3,-3,2009
15,United Kingdom,"8,367","8,701",1.3,4,2009
16,Hong Kong,"8,286","8,329",1.2,0.5,2009
17,Indonesia,"7,692","7,509",1.1,-2.4,2009
18,France,"7,050","7,421",1.1,5.3,2009
19,Colombia,"6,662","7,013",1,5.3,2009
20,Nigeria,"6,222","6,256",0.9,0.5,2009
21,Malaysia,"5,428","5,942",0.9,9.5,2009
22,Kenya,"5,838","5,877",0.9,0.7,2009
23,Pakistan,"5,345","5,298",0.8,-0.9,2009
24,Russia,"4,906","4,908",0.7,0,2009
25,Venezuela,"4,446","4,678",0.7,5.2,2009
