Rank,Place of Origin,2009/10,2010/11,2010/11 % of Total,% Change,Year
,WORLD TOTAL,"690,923","723,277",100,4.7,2011
1,China,"127,822","157,558",21.8,23.3,2011
2,India,"104,897","103,895",14.4,-1,2011
3,South Korea,"72,153","73,351",10.1,1.7,2011
4,Canada,"28,145","27,546",3.8,-2.1,2011
5,Taiwan,"26,685","24,818",3.4,-7,2011
6,Saudi Arabia,"15,810","22,704",3.1,43.6,2011
7,Japan,"24,842","21,290",2.9,-14.3,2011
8,Vietnam,"13,112","14,888",2.1,13.5,2011
9,Mexico,"13,256","13,713",1.9,2,2011
10,Turkey,"12,397","12,184",1.7,-1.7,2011
11,Nepal,"11,233","10,301",1.4,-8.3,2011
12,Germany,"9,548","9,458",1.3,-0.9,2011
13,United Kingdom,"8,861","8,947",1.2,1,2011
14,Brazil,"8,786","8,777",1.2,-0.1,2011
15,Thailand,"8,531","8,236",1.1,-3.5,2011
16,Hong Kong,"8,034","8,136",1.1,1.3,2011
17,France,"7,716","8,098",1.1,5,2011
18,Nigeria,"6,568","7,148",1,8.8,2011
19,Indonesia,"6,943","6,942",1,0,2011
20,Malaysia,"6,190","6,735",0.9,8.8,2011
21,Colombia,"6,920","6,456",0.9,-6.7,2011
22,Iran,"4,731","5,626",0.8,18.9,2011
23,Venezuela,"4,958","5,491",0.8,10.8,2011
24,Pakistan,"5,222","5,045",0.7,-3.4,2011
25,Russia,"4,827","4,692",0.6,-2.8,2011
