Rank,Place of Origin,,2011/12,2012/13,2012/13 % of Total,% Change,Year
,WORLD TOTAL,,"764,495","819,644",100,7.2,2013
1,China,,"194,029","235,597",28.7,21.4,2013
2,India,,"100,270","96,754",11.8,-3.5,2013
3,South Korea,,"72,295","70,627",8.6,-2.3,2013
4,Saudi Arabia,,"34,139","44,566",5.4,30.5,2013
5,Canada,,"26,821","27,357",3.3,2,2013
6,Taiwan,,"23,250","21,867",2.7,-5.9,2013
7,Japan,,"19,966","19,568",2.4,-2,2013
8,Vietnam,,"15,572","16,098",2,3.4,2013
9,Mexico,,"13,893","14,199",1.7,2.2,2013
10,Turkey,,"11,973","11,278",1.4,-5.8,2013
11,Brazil,,"9,029","10,868",1.3,20.4,2013
12,Germany,,"9,347","9,819",1.2,5,2013
13,United Kingdom,,"9,186","9,467",1.2,3.1,2013
14,Nepal,,"9,621","8,920",1.1,-7.3,2013
15,Iran,,"6,982","8,744",1.1,25.2,2013
16,France,,"8,232","8,297",1,0.8,2013
17,Hong Kong,,"8,032","8,026",1,-0.1,2013
18,Indonesia,,"7,131","7,670",0.9,7.6,2013
19,Nigeria,,"7,028","7,316",0.9,4.1,2013
20,Thailand,,"7,626","7,314",0.9,-4.1,2013
21,Malaysia,,"6,743","6,791",0.8,0.7,2013
22,Colombia,,"6,295","6,543",0.8,3.9,2013
23,Venezuela,,"6,281","6,158",0.8,-2,2013
24,Kuwait,,"3,722","5,115",0.6,37.4,2013
25,Spain,,"4,924","5,033",0.6,2.2,2013
